cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
1.2-18,0.0079,10.8225,24.2811,33.7,6.8859,0.3457,46.5,0.0041,0.0038,0.0029,0.0022,0.0018,0.0015,0.001,0.5175,0.4841,0.37,0.2794,0.224,0.1862,0.1216,1.173,1.064,0.793,0.608,0.501,0.426,0.289,148.2933,134.5133,100.2528,76.8647,63.3376,53.8559,36.536
1.2-19,0.0078,10.6952,27.3284,34.7,7.0158,0.3261,46,0.0034,0.0039,0.0032,0.0026,0.0019,0.0013,0.0007,0.4339,0.4963,0.4145,0.3364,0.2432,0.1689,0.0896,0.964,1.082,0.899,0.741,0.538,0.38,0.208,123.4315,138.5403,115.1088,94.8784,68.886,48.6556,26.6325
1.2-20,0.0078,10.6952,24.7252,33.5,7.1457,0.3422,48,0.0034,0.0034,0.0027,0.0021,0.0016,0.0012,0.0007,0.4389,0.4337,0.3464,0.2648,0.2026,0.1515,0.0913,0.971,0.942,0.739,0.577,0.449,0.343,0.214,124.3278,120.6146,94.6223,73.8796,57.4904,43.9181,27.4008
1.2-21,0.0081,11.0772,25.8021,35.2,7.0158,0.3555,48.1,0.0045,0.0044,0.0036,0.003,0.0023,0.0019,0.0013,0.5506,0.5415,0.4434,0.368,0.2881,0.236,0.154,1.263,1.206,0.976,0.828,0.656,0.548,0.369,156.1187,149.0729,120.6428,102.3486,81.0878,67.738,45.6119
1.2-22,0.008,10.9499,23.8423,33.9,7.0158,0.2906,43.7,0.0034,0.0037,0.0032,0.0025,0.0018,0.0012,0.0006,0.427,0.4679,0.3995,0.3083,0.2184,0.1485,0.0721,0.974,1.047,0.894,0.703,0.495,0.344,0.174,121.75,130.875,111.75,87.875,61.875,43,21.75
1.2-23,0.0079,10.8225,19.2492,31.6,7.0808,0.3063,45.1,0.0043,0.0043,0.0036,0.0031,0.0023,0.0017,0.0009,0.5492,0.5393,0.455,0.3855,0.2872,0.2148,0.1159,1.232,1.173,0.988,0.861,0.643,0.491,0.273,155.7522,148.2933,124.9052,108.8496,81.2895,62.0733,34.5133
1.2-24,0.0077,10.5679,23.5679,32.6,6.9508,0.325,45.5,0.0041,0.004,0.0033,0.0026,0.0021,0.0017,0.0012,0.5295,0.5196,0.4297,0.3398,0.276,0.2229,0.1486,1.161,1.101,0.893,0.717,0.597,0.491,0.339,150.3886,142.6166,115.6736,92.8757,77.3316,63.601,43.9119
1.2-25,0.0078,10.6952,23.8156,33.1,7.0808,0.3184,45.9,0.0043,0.0042,0.0035,0.0028,0.0022,0.0017,0.001,0.5455,0.5359,0.4456,0.3607,0.2812,0.2172,0.1256,1.206,1.149,0.952,0.783,0.621,0.489,0.292,154.4174,147.1191,121.895,100.2561,79.5134,62.612,37.388
1.2-27,0.0078,10.6952,24.9492,33.6,7.0158,0.3111,45,0.0039,0.0037,0.003,0.0024,0.0017,0.0012,0.0007,0.5031,0.4729,0.3831,0.3036,0.2167,0.159,0.0955,1.135,1.028,0.822,0.667,0.479,0.359,0.224,145.3265,131.6261,105.2497,85.4033,61.3316,45.9667,28.6812
1.2-29,0.0078,10.6952,27.7448,34.9,6.8859,0.3178,44.6,0.0042,0.0041,0.0035,0.0028,0.0021,0.0016,0.0009,0.5403,0.5295,0.4428,0.3611,0.2717,0.2046,0.1181,1.197,1.136,0.946,0.787,0.6,0.461,0.274,153.265,145.4546,121.1268,100.7683,76.8246,59.0269,35.0832
