cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
155,13.62,28.62,45,8.57,33.53,57,1.11,174.67,160.7,155.38,150.35,149.15,127.64,76.48,
156,13.5,28.49,44.5,8.45,34.07,56.6,1.11,179.51,166.23,163.89,161.97,153.96,127.59,60.55,
157,13.5,32.29,47,8.57,32.22,55.9,1.12,179.31,167.55,164.2,157.2,142.39,108.22,47.57,
158,13.5,29.91,45.4,8.45,32.64,55.4,1.11,174.95,155.78,141.79,127.18,111.87,97.87,69.37,
159,13.88,27.92,45.4,8.38,35.83,57.7,1.07,172.58,158.68,156.8,149.21,132.25,87.57,31.66,
160,13.37,35.41,48.8,8.38,30.92,53.6,1.11,176.56,169.4,157.52,146.67,117.4,52,14.53,
161,13.62,26.66,43.8,8.25,36.93,57.8,1.07,166.33,153.17,133.47,117.89,106.33,89.75,56.38,
162,13.5,27.84,44.1,8.32,35.88,57.3,1.09,179.13,160.18,147.58,138.42,131.04,117.86,69.68,
163,13.62,31.07,46.6,8.25,33.11,54.5,1.07,177.38,159.75,140.39,123.3,114.56,97.72,58.93,
164,13.5,34.12,48.3,8.19,34.72,55.4,1.07,179.81,171.42,163.08,154.21,137.14,78.75,21.65,
165,13.62,32.23,47.4,8.25,32.37,53.9,1.07,181.91,167.52,163.18,161.84,151.07,114.94,42.53,
166,13.62,32.66,47.7,8.19,33.64,54.5,1.06,177.54,159.87,145.54,137.45,133.95,116.38,66.77,
167,13.62,31.07,46.6,8.32,35.65,57.1,1.08,172.54,158.59,144.51,129.25,112.18,88.03,53.59,
168,13.75,27.47,44.7,8.25,35.82,56.8,1.06,175.03,165.1,155,150.29,133,75.83,24.32,
169,13.75,30.43,46.6,8.32,37.09,58.4,1.07,179.56,170.51,161.15,151.91,133.66,80.75,24.87,
170,13.62,31.51,46.9,8.19,32.9,53.9,1.06,175.88,168.09,163.5,157.87,142.88,114.54,55.72,
171,13.75,27.79,44.9,8.45,36.43,58.7,1.09,176.39,167.13,162.85,157.1,144.14,103.7,38.56,
172,13.75,31.31,47.2,8.25,35.93,56.9,1.06,173.75,165.17,162.93,157.01,142.02,80.75,22.35,
