,cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
62,1.3-26,0.0077,10.5679,34.2563,37.9,7.0158,0.4038,52.0,0.0049,0.0047,0.0043,0.0037,0.003,0.0023,0.0012,0.633,0.6091,0.5507,0.4776,0.3881,0.3012,0.1486,1.3530000000000002,1.272,1.157,1.018,0.851,0.679,0.34299999999999997,175.2591,164.7668,149.8705,131.8653,110.2332,87.9534,44.4301
63,1.3-30,0.0075,10.3132,30.5244,35.0,7.2757,0.3934,53.0,0.0046,0.0043,0.0039,0.0034,0.003,0.0027,0.0017,0.6147,0.5761,0.5133,0.456,0.4,0.3553,0.2309,1.2990000000000002,1.182,1.0490000000000002,0.943,0.85,0.774,0.516,172.51,156.9721,139.3094,125.2324,112.8818,102.7888,68.5259
64,1.3-31,0.0075,10.3132,34.2799,37.0,7.0808,0.4259,54.5,0.0048,0.0046,0.0042,0.0037,0.0032,0.0028,0.0015,0.6345,0.6125,0.5606,0.4972,0.4247,0.3691,0.2001,1.329,1.25,1.151,1.033,0.905,0.805,0.447,176.49400000000003,166.0027,152.8553,137.1846,120.1859,106.9057,59.3626
65,1.3-33,0.0074,10.1859,35.2662,37.1,7.2107,0.4228,55.2,0.0048,0.0046,0.0043,0.0038,0.003,0.0023,0.0012,0.6458,0.6136,0.5761,0.5063,0.4031,0.3086,0.1585,1.3359999999999999,1.23,1.16,1.033,0.845,0.6629999999999999,0.348,179.5699,165.3226,155.914,138.8441,113.5753,89.1129,46.7742
66,2.1-1,0.01,13.6237,17.6366,39.0,8.1851,0.3176,53.0,0.0067,0.0065,0.0063,0.006,0.0054,0.0042,0.002,0.6713,0.6491,0.6324,0.6046,0.5466,0.4221,0.2022,1.8259999999999998,1.732,1.704,1.656,1.548,1.216,0.598,183.5176,174.0704,171.2563,166.4322,155.5779,122.2111,60.1005
67,2.1-4,0.01,13.751,16.8669,39.0,8.2501,0.3122,53.0,0.0063,0.0058,0.0053,0.0048,0.004,0.0031,0.002,0.6254,0.5737,0.5292,0.4785,0.3953,0.3105,0.1945,1.754,1.548,1.43,1.3130000000000002,1.1159999999999999,0.889,0.5720000000000001,174.7012,154.1833,142.4303,130.7769,111.1554,88.5458,56.9721
68,2.1-5,0.01,13.6237,17.6366,39.0,7.9253,0.3393,53.0,0.0063,0.0062,0.0059,0.0054,0.0045,0.0032,0.0018,0.6339,0.6251,0.5949,0.5446,0.4499,0.3235,0.1796,1.761,1.676,1.6,1.486,1.262,0.9179999999999999,0.524,176.9849,168.4422,160.804,149.3467,126.8342,92.2613,52.6633
69,2.1-9,0.01,13.6237,23.5197,42.0,8.445,0.3025,53.5,0.0059,0.0057,0.0046,0.0038,0.0031,0.0024,0.0015,0.5902,0.57,0.4636,0.3771,0.3126,0.2377,0.1472,1.632,1.548,1.2409999999999999,1.025,0.8740000000000001,0.675,0.431,164.0201,155.5779,124.7236,103.0151,87.8392,67.8392,43.3166
70,2.1-10,0.01,13.6237,25.2983,43.0,8.5749,0.2783,52.5,0.0057,0.0056,0.0046,0.0035,0.0029,0.0022,0.0014,0.5722,0.5605,0.465,0.3502,0.2921,0.222,0.1379,1.588,1.5190000000000001,1.26,0.9520000000000001,0.81,0.627,0.402,159.59799999999998,152.6633,126.6332,95.6784,81.407,63.0151,40.402
71,2.1-11,0.01,13.6237,27.8164,44.5,8.5099,0.3163,55.0,0.0054,0.0054,0.0044,0.0033,0.0025,0.0019,0.0012,0.5449,0.5407,0.4369,0.3273,0.2498,0.1895,0.1152,1.528,1.4769999999999999,1.1840000000000002,0.8909999999999999,0.695,0.537,0.33799999999999997,153.5678,148.4422,118.995,89.5477,69.8493,53.9699,33.9699
72,2.1-14,0.01,13.6237,17.6366,39.0,8.445,0.309,54.0,0.0049,0.0045,0.0037,0.0024,0.0014,0.001,0.0006,0.4921,0.4548,0.3683,0.23800000000000002,0.141,0.1042,0.0577,1.445,1.29,1.05,0.675,0.397,0.301,0.174,145.2261,129.6482,105.5276,67.8392,39.8995,30.2513,17.4874
73,2.1-15,0.0099,13.4963,18.615,39.1,8.445,0.2654,50.8,0.0039,0.0043,0.0035,0.0022,0.0013,0.001,0.0005,0.3963,0.4399,0.3546,0.2181,0.1331,0.0974,0.0545,1.1079999999999999,1.2309999999999999,0.998,0.612,0.374,0.281,0.166,112.3732,124.8479,101.21700000000001,62.068999999999996,37.931,28.499000000000002,16.8357
74,2.1-16,0.0097,13.2417,20.3543,39.2,8.445,0.2492,49.7,0.0051,0.0053,0.0044,0.0033,0.0024,0.0018,0.0011,0.5303,0.5448,0.4565,0.3454,0.2463,0.182,0.1124,1.483,1.4609999999999999,1.23,0.941,0.674,0.506,0.32299999999999995,153.3609,151.0858,127.1975,97.3113,69.7001,52.3268,33.4023
75,2.1-17,0.0099,13.4963,17.3467,38.5,8.445,0.2669,50.9,0.0054,0.0052,0.0043,0.0033,0.0023,0.0018,0.0011,0.5495,0.5301,0.4393,0.3378,0.2369,0.1814,0.1132,1.548,1.4409999999999998,1.1909999999999998,0.934,0.66,0.515,0.33299999999999996,156.998,146.14600000000002,120.7911,94.7262,66.9371,52.2312,33.7728
76,2.1-19,0.0099,13.4963,18.4064,39.0,8.445,0.2768,51.6,0.0057,0.0055,0.0047,0.0039,0.0031,0.0025,0.0015,0.5735,0.5563,0.4792,0.3995,0.3187,0.2514,0.1556,1.581,1.48,1.275,1.079,0.888,0.711,0.45399999999999996,160.3448,150.1014,129.3103,109.4321,90.0609,72.1095,46.0446
77,2.1-20,0.0097,13.2417,20.9592,39.5,8.445,0.2796,51.8,0.005,0.005,0.0043,0.0033,0.0022,0.0016,0.0009,0.512,0.5156,0.445,0.3363,0.2248,0.1624,0.0912,1.429,1.4,1.207,0.9159999999999999,0.617,0.45399999999999996,0.265,147.7766,144.7777,124.819,94.726,63.8056,46.9493,27.4043
78,2.1-21,0.0098,13.369000000000002,18.9683,38.9,8.445,0.2768,51.6,0.0052,0.0053,0.0046,0.0035,0.0025,0.0018,0.001,0.5345,0.5395,0.4671,0.3549,0.2523,0.1814,0.1003,1.4969999999999999,1.4680000000000002,1.266,0.966,0.6990000000000001,0.512,0.293,153.2242,150.2559,129.5804,98.8741,71.5456,52.4053,29.9898
79,2.1-22,0.01,13.6237,19.0889,39.7,8.445,0.2919,52.7,0.0056,0.0054,0.0045,0.0035,0.0021,0.0013,0.0006,0.5602,0.5415,0.4566,0.3472,0.2087,0.1296,0.0579,1.607,1.4969999999999999,1.271,0.986,0.5920000000000001,0.373,0.17300000000000001,161.5075,150.4523,127.7387,99.0955,59.4975,37.4874,17.3869
80,2.1-23,0.0093,12.7324,18.6442,36.9,8.445,0.2567,50.2,0.0051,0.0049,0.0041,0.003,0.0021,0.0015,0.0009,0.5518,0.5298,0.4456,0.3244,0.2201,0.1615,0.09699999999999999,1.459,1.357,1.145,0.847,0.578,0.431,0.26899999999999996,156.8817,145.914,123.1183,91.0753,62.1505,46.3441,28.9247
81,2.1-24,0.01,13.6237,18.6792,39.5,8.315,0.2934,52.0,0.0053,0.0051,0.0042,0.0032,0.0022,0.0015,0.0008,0.5307,0.5149,0.4216,0.3178,0.2186,0.1542,0.0791,1.525,1.422,1.16,0.8809999999999999,0.618,0.445,0.237,153.2663,142.9146,116.5829,88.5427,62.1106,44.7236,23.8191
82,2.1-25,0.01,13.6237,19.2922,39.8,8.2501,0.2976,51.9,0.0056,0.0055,0.0046,0.0034,0.0021,0.0015,0.0009,0.5587,0.5523,0.4577,0.3442,0.2137,0.15,0.0877,1.579,1.5290000000000001,1.266,0.971,0.601,0.428,0.26,158.6935,153.6683,127.2362,97.5879,60.402,43.0151,26.1307
83,2.1-27,0.0098,13.369000000000002,17.9132,38.4,8.5099,0.2684,51.4,0.0054,0.0052,0.0043,0.0032,0.0021,0.0015,0.0009,0.5482,0.5335,0.4431,0.3244,0.2138,0.1553,0.0927,1.545,1.449,1.2109999999999999,0.898,0.588,0.434,0.26899999999999996,158.1372,148.3112,123.9509,91.914,60.1842,44.4217,27.5333
84,2.1-28,0.0098,13.369000000000002,19.1761,39.0,8.5099,0.3249,55.7,0.0051,0.0043,0.0041,0.0031,0.0019,0.0013,0.0006,0.5235,0.4362,0.4212,0.3136,0.1927,0.1305,0.0648,1.459,1.194,1.1520000000000001,0.867,0.5379999999999999,0.373,0.193,149.3347,122.2109,117.912,88.741,55.0665,38.1781,19.7544
85,2.1-29,0.0095,12.987,20.2586,38.4,8.1851,0.28800000000000003,50.8,0.0049,0.0048,0.0042,0.0033,0.0022,0.0016,0.0009,0.5112,0.5099,0.441,0.3471,0.2337,0.1678,0.0952,1.3969999999999998,1.348,1.166,0.9229999999999999,0.633,0.462,0.272,147.2076,142.0443,122.8662,97.2603,66.7018,48.6828,28.6618
86,2.1-30,0.0098,13.369000000000002,18.1265,38.5,8.445,0.2654,50.8,0.0057,0.0055,0.0048,0.0041,0.0033,0.0025,0.0015,0.5835,0.5652,0.4898,0.4179,0.3381,0.2575,0.1479,1.5759999999999998,1.484,1.2930000000000001,1.122,0.9359999999999999,0.725,0.43,161.3101,151.8936,132.3439,114.8414,95.8035,74.2068,44.0123
87,2.1-31,0.0096,13.1144,20.9184,39.1,8.5099,0.2419,49.6,0.0038,0.0038,0.003,0.002,0.0013,0.0009,0.0004,0.3945,0.3988,0.3119,0.2057,0.1362,0.0887,0.0393,1.0959999999999999,1.0859999999999999,0.852,0.556,0.376,0.252,0.11699999999999999,114.405,113.3612,88.9353,58.0376,39.2484,26.3048,12.2129
88,2.1-32,0.0099,13.4963,17.5608,38.6,8.445,0.27399999999999997,51.4,0.0057,0.0055,0.0045,0.0035,0.0028,0.002,0.001,0.575,0.5546,0.4519,0.3587,0.2854,0.1983,0.1007,1.579,1.4809999999999999,1.2109999999999999,0.976,0.8009999999999999,0.563,0.295,160.142,150.2028,122.8195,98.9858,81.2373,57.0994,29.9189
